,EONIA
2014-01-02,0.152
2014-01-03,0.111
2014-01-06,0.096
2014-01-07,0.09899999999999999
2014-01-08,0.137
2014-01-09,0.156
2014-01-10,0.154
2014-01-13,0.153
2014-01-14,0.14700000000000002
2014-01-15,0.21000000000000002
2014-01-16,0.3
2014-01-17,0.34299999999999997
2014-01-20,0.359
2014-01-21,0.351
2014-01-22,0.23800000000000002
2014-01-23,0.21000000000000002
2014-01-24,0.191
2014-01-27,0.188
2014-01-28,0.17900000000000002
2014-01-29,0.157
2014-01-30,0.155
2014-01-31,0.228
2014-02-03,0.14
2014-02-04,0.133
2014-02-05,0.14500000000000002
2014-02-06,0.132
2014-02-07,0.131
2014-02-10,0.127
2014-02-11,0.12200000000000001
2014-02-12,0.17
2014-02-13,0.159
2014-02-14,0.14400000000000002
2014-02-17,0.15
2014-02-18,0.153
2014-02-19,0.164
2014-02-20,0.169
2014-02-21,0.171
2014-02-24,0.169
2014-02-25,0.166
2014-02-26,0.168
2014-02-27,0.162
2014-02-28,0.259
2014-03-03,0.156
2014-03-04,0.157
2014-03-05,0.164
2014-03-06,0.163
2014-03-07,0.159
2014-03-10,0.167
2014-03-11,0.171
2014-03-12,0.17200000000000001
2014-03-13,0.17
2014-03-14,0.158
2014-03-17,0.162
2014-03-18,0.16
2014-03-19,0.168
2014-03-20,0.163
2014-03-21,0.17
2014-03-24,0.169
2014-03-25,0.17200000000000001
2014-03-26,0.171
2014-03-27,0.17400000000000002
2014-03-28,0.195
2014-03-31,0.688
2014-04-01,0.194
2014-04-02,0.21200000000000002
2014-04-03,0.21800000000000003
2014-04-04,0.212
2014-04-07,0.224
2014-04-08,0.21600000000000003
2014-04-09,0.209
2014-04-10,0.20700000000000002
2014-04-11,0.209
2014-04-14,0.209
2014-04-15,0.20700000000000002
2014-04-16,0.20400000000000001
2014-04-17,0.221
2014-04-22,0.217
2014-04-23,0.23800000000000002
2014-04-24,0.294
2014-04-25,0.331
2014-04-28,0.398
2014-04-29,0.457
2014-04-30,0.4
2014-05-02,0.159
2014-05-05,0.126
2014-05-06,0.108
2014-05-07,0.26
2014-05-08,0.23900000000000002
2014-05-09,0.222
2014-05-12,0.191
2014-05-13,0.184
2014-05-14,0.177
2014-05-15,0.17200000000000001
2014-05-16,0.169
2014-05-19,0.177
2014-05-20,0.196
2014-05-21,0.271
2014-05-22,0.337
2014-05-23,0.396
2014-05-26,0.425
2014-05-27,0.46900000000000003
2014-05-28,0.23900000000000002
2014-05-29,0.244
2014-05-30,0.448
2014-06-02,0.226
2014-06-03,0.191
2014-06-04,0.14200000000000002
2014-06-05,0.10400000000000001
2014-06-06,0.067
2014-06-09,0.053
2014-06-10,0.065
2014-06-11,0.06
2014-06-12,0.043000000000000003
2014-06-13,0.026000000000000002
2014-06-16,0.027
2014-06-17,0.03
2014-06-18,0.015
2014-06-19,0.01
2014-06-20,0.025
2014-06-23,0.031
2014-06-24,0.036000000000000004
2014-06-25,0.043000000000000003
2014-06-26,0.036000000000000004
2014-06-27,0.025
2014-06-30,0.336
2014-07-01,0.026
2014-07-02,0.023
2014-07-03,0.032
2014-07-04,0.032
2014-07-07,0.029
2014-07-08,0.027
2014-07-09,0.033
2014-07-10,0.036
2014-07-11,0.05
2014-07-14,0.052
2014-07-15,0.034
2014-07-16,0.036
2014-07-17,0.039
2014-07-18,0.037
2014-07-21,0.048
2014-07-22,0.041
2014-07-23,0.047
2014-07-24,0.042
2014-07-25,0.043
2014-07-28,0.044
2014-07-29,0.032
2014-07-30,0.035
2014-07-31,0.177
2014-08-01,0.023
2014-08-04,0.029
2014-08-05,0.031
2014-08-06,0.021
2014-08-07,0.014
2014-08-08,0.019
2014-08-11,0.01
2014-08-12,0.009
2014-08-13,0.019
2014-08-14,0.014
2014-08-15,0.007
2014-08-18,0.006
2014-08-19,0.005
2014-08-20,0.013
2014-08-21,0.014
2014-08-22,0.006
2014-08-25,0.019
2014-08-26,0.009
2014-08-27,0.011
2014-08-28,-0.004
2014-08-29,0.101
2014-09-01,-0.013000000000000001
2014-09-02,-0.006999999999999999
2014-09-03,-0.006
2014-09-04,0.003
